query,value,eps,min_samples,bias
classmates,4.03292046399341e-15,0.9,5,us
classmates,0.007134100565905311,0.9,5,ru
classmates,1.091812392614616e-09,0.9,8,False
classmates,4.03292046399341e-15,0.9,8,us
classmates,5.395424897903543e-07,0.9,8,ru
Gdz,1.1316933501002751e-08,0.1,2,False
Gdz,5.803555641539872e-10,0.1,2,us
Gdz,1.3259673752008224e-06,0.1,2,ru
Gdz,1.4508889103849681e-11,0.1,5,False
Gdz,1.4508889103849681e-11,0.1,5,us
Gdz,1.4508889103849681e-11,0.1,5,ru
Gdz,1.4508889103849681e-11,0.1,8,False
Gdz,1.4508889103849681e-11,0.1,8,us
Gdz,1.4508889103849681e-11,0.1,8,ru
Gdz,1.1316933501002751e-08,0.5,2,False
Gdz,5.803555641539872e-10,0.5,2,us
Gdz,1.3259673752008224e-06,0.5,2,ru
Gdz,1.4508889103849681e-11,0.5,5,False
Gdz,1.4508889103849681e-11,0.5,5,us
Gdz,1.4508889103849681e-11,0.5,5,ru
Gdz,1.4508889103849681e-11,0.5,8,False
Gdz,1.4508889103849681e-11,0.5,8,us
Gdz,1.4508889103849681e-11,0.5,8,ru
Gdz,5.803555641539872e-10,0.9,2,False
Gdz,5.803555641539872e-10,0.9,2,us
Gdz,1.3259673752008224e-06,0.9,2,ru
Gdz,1.4508889103849681e-11,0.9,5,False
Gdz,1.4508889103849681e-11,0.9,5,us
Gdz,1.4508889103849681e-11,0.9,5,ru
Gdz,1.4508889103849681e-11,0.9,8,False
Gdz,1.4508889103849681e-11,0.9,8,us
Gdz,1.4508889103849681e-11,0.9,8,ru
Gypsophyla,7.910728602448615e-13,0.1,2,False
Gypsophyla,7.910728602448615e-13,0.1,2,us
Gypsophyla,7.910728602448615e-13,0.1,2,ru
Gypsophyla,7.910728602448615e-13,0.1,5,False
Gypsophyla,7.910728602448615e-13,0.1,5,us
Gypsophyla,7.910728602448615e-13,0.1,5,ru
Gypsophyla,7.910728602448615e-13,0.1,8,False
Gypsophyla,7.910728602448615e-13,0.1,8,us
Gypsophyla,7.910728602448615e-13,0.1,8,ru
Gypsophyla,7.910728602448615e-13,0.5,2,False
Gypsophyla,7.910728602448615e-13,0.5,2,us
Gypsophyla,7.910728602448615e-13,0.5,2,ru
Gypsophyla,7.910728602448615e-13,0.5,5,False
Gypsophyla,7.910728602448615e-13,0.5,5,us
Gypsophyla,7.910728602448615e-13,0.5,5,ru
Gypsophyla,7.910728602448615e-13,0.5,8,False
Gypsophyla,7.910728602448615e-13,0.5,8,us
Gypsophyla,7.910728602448615e-13,0.5,8,ru
Gypsophyla,7.910728602448615e-13,0.9,2,False
Gypsophyla,7.910728602448615e-13,0.9,2,us
Gypsophyla,7.910728602448615e-13,0.9,2,ru
Gypsophyla,7.910728602448615e-13,0.9,5,False
Gypsophyla,7.910728602448615e-13,0.9,5,us
Gypsophyla,7.910728602448615e-13,0.9,5,ru
Gypsophyla,7.910728602448615e-13,0.9,8,False
Gypsophyla,7.910728602448615e-13,0.9,8,us
Gypsophyla,7.910728602448615e-13,0.9,8,ru
Inna Churikova,1.9229659827317653e-07,0.1,2,False
Inna Churikova,1.9229659827317653e-07,0.1,2,us
Inna Churikova,4.9997115551025895e-06,0.1,2,ru
Inna Churikova,1.9229659827317653e-07,0.1,5,False
Inna Churikova,1.9229659827317653e-07,0.1,5,us
