query,score,value,eps,min_samples,bias
Happy birthday,map,0.5625,0.1,8,False
Happy birthday,ndcg,0.7983034243884808,0.1,8,False
Happy birthday,map,0.5625,0.1,8,us
Happy birthday,ndcg,0.7983034243884808,0.1,8,us
Happy birthday,map,0.5625,0.1,8,ru
Happy birthday,ndcg,0.7983034243884808,0.1,8,ru
Happy birthday,map,0.5024504816171483,0.5,2,False
Happy birthday,ndcg,0.8840630474900787,0.5,2,False
Happy birthday,map,0.5024504816171483,0.5,2,us
Happy birthday,ndcg,0.8840630474900787,0.5,2,us
Happy birthday,map,0.5625,0.5,2,ru
Happy birthday,ndcg,0.7983034243884808,0.5,2,ru
Happy birthday,map,0.5572871572871573,0.5,5,False
Happy birthday,ndcg,0.8077694728990161,0.5,5,False
Happy birthday,map,0.5572871572871573,0.5,5,us
Happy birthday,ndcg,0.8077694728990161,0.5,5,us
Happy birthday,map,0.5625,0.5,5,ru
Happy birthday,ndcg,0.7983034243884808,0.5,5,ru
Happy birthday,map,0.5625,0.5,8,False
Happy birthday,ndcg,0.7983034243884808,0.5,8,False
Happy birthday,map,0.5625,0.5,8,us
Happy birthday,ndcg,0.7983034243884808,0.5,8,us
Happy birthday,map,0.5625,0.5,8,ru
Happy birthday,ndcg,0.7983034243884808,0.5,8,ru
Happy birthday,map,0.551833197666531,0.9,2,False
Happy birthday,ndcg,0.8563601064501449,0.9,2,False
Happy birthday,map,0.551833197666531,0.9,2,us
Happy birthday,ndcg,0.8563601064501449,0.9,2,us
Happy birthday,map,0.5625,0.9,2,ru
Happy birthday,ndcg,0.7983034243884808,0.9,2,ru
Happy birthday,map,0.5572871572871573,0.9,5,False
Happy birthday,ndcg,0.8077694728990161,0.9,5,False
Happy birthday,map,0.5572871572871573,0.9,5,us
Happy birthday,ndcg,0.8077694728990161,0.9,5,us
Happy birthday,map,0.5625,0.9,5,ru
Happy birthday,ndcg,0.7983034243884808,0.9,5,ru
Happy birthday,map,0.5625,0.9,8,False
Happy birthday,ndcg,0.7983034243884808,0.9,8,False
Happy birthday,map,0.5625,0.9,8,us
Happy birthday,ndcg,0.7983034243884808,0.9,8,us
Happy birthday,map,0.5625,0.9,8,ru
Happy birthday,ndcg,0.7983034243884808,0.9,8,ru
Cheburashka,map,0.06666666666666667,0.1,2,False
Cheburashka,ndcg,0.6012400562714807,0.1,2,False
Cheburashka,map,0.0625,0.1,2,us
Cheburashka,ndcg,0.5803633447721747,0.1,2,us
Cheburashka,map,0.05555555555555555,0.1,2,ru
Cheburashka,ndcg,0.6213159272589205,0.1,2,ru
Cheburashka,map,0.04,0.1,5,False
Cheburashka,ndcg,0.5937934748141566,0.1,5,False
Cheburashka,map,0.04,0.1,5,us
