,rank,query,value,cat,timeframe
25,0,zitkala-sa,2950,rising,2021-02-01 2021-03-01
26,1,super bowl 2021,160,rising,2021-02-01 2021-03-01
0,0,weather,100,top,2021-03-01 2021-04-01
1,1,google,78,top,2021-03-01 2021-04-01
2,2,amazon,61,top,2021-03-01 2021-04-01
3,3,youtube,58,top,2021-03-01 2021-04-01
4,4,news,58,top,2021-03-01 2021-04-01
5,5,facebook,57,top,2021-03-01 2021-04-01
6,6,walmart,39,top,2021-03-01 2021-04-01
7,7,stimulus check,32,top,2021-03-01 2021-04-01
8,8,craigslist,30,top,2021-03-01 2021-04-01
9,9,yahoo,29,top,2021-03-01 2021-04-01
10,10,irs,28,top,2021-03-01 2021-04-01
11,11,calculator,24,top,2021-03-01 2021-04-01
12,12,translate,22,top,2021-03-01 2021-04-01
13,13,nba,21,top,2021-03-01 2021-04-01
14,14,instagram,19,top,2021-03-01 2021-04-01
15,15,home depot,19,top,2021-03-01 2021-04-01
16,16,gmail,18,top,2021-03-01 2021-04-01
17,17,target,18,top,2021-03-01 2021-04-01
18,18,lowes,15,top,2021-03-01 2021-04-01
19,19,yahoo mail,14,top,2021-03-01 2021-04-01
20,20,walgreens,13,top,2021-03-01 2021-04-01
21,21,get my payment,13,top,2021-03-01 2021-04-01
22,22,ebay,12,top,2021-03-01 2021-04-01
23,23,costco,12,top,2021-03-01 2021-04-01
24,24,best buy,12,top,2021-03-01 2021-04-01
25,0,masako katsura,2600,rising,2021-03-01 2021-04-01
26,1,get my payment,700,rising,2021-03-01 2021-04-01
27,2,ncaa basketball,450,rising,2021-03-01 2021-04-01
28,3,irs,140,rising,2021-03-01 2021-04-01
29,4,stimulus check,120,rising,2021-03-01 2021-04-01
30,5,expedia,50,rising,2021-03-01 2021-04-01
0,0,weather,100,top,2021-04-01 2021-05-01
1,1,google,82,top,2021-04-01 2021-05-01
2,2,amazon,68,top,2021-04-01 2021-05-01
3,3,facebook,65,top,2021-04-01 2021-05-01
4,4,youtube,59,top,2021-04-01 2021-05-01
5,5,walmart,45,top,2021-04-01 2021-05-01
6,6,craigslist,30,top,2021-04-01 2021-05-01
7,7,yahoo,29,top,2021-04-01 2021-05-01
8,8,calculator,24,top,2021-04-01 2021-05-01
9,9,home depot,24,top,2021-04-01 2021-05-01
10,10,translate,23,top,2021-04-01 2021-05-01
11,11,nba,22,top,2021-04-01 2021-05-01
12,12,instagram,20,top,2021-04-01 2021-05-01
13,13,gmail,19,top,2021-04-01 2021-05-01
14,14,twitter,18,top,2021-04-01 2021-05-01
15,15,dmx,18,top,2021-04-01 2021-05-01
16,16,lowes,18,top,2021-04-01 2021-05-01
17,17,fox,17,top,2021-04-01 2021-05-01
18,18,target,17,top,2021-04-01 2021-05-01
19,19,food near me,16,top,2021-04-01 2021-05-01
20,20,usps,14,top,2021-04-01 2021-05-01
21,21,yahoo mail,13,top,2021-04-01 2021-05-01
22,22,costco,13,top,2021-04-01 2021-05-01
23,23,ebay,13,top,2021-04-01 2021-05-01
24,24,fox news,12,top,2021-04-01 2021-05-01
25,0,dmx,7050,rising,2021-04-01 2021-05-01
0,0,weather,100,top,2021-05-01 2021-06-01
1,1,google,69,top,2021-05-01 2021-06-01
2,2,facebook,59,top,2021-05-01 2021-06-01
3,3,amazon,57,top,2021-05-01 2021-06-01
4,4,youtube,55,top,2021-05-01 2021-06-01
5,5,walmart,38,top,2021-05-01 2021-06-01
6,6,nba,34,top,2021-05-01 2021-06-01
7,7,yahoo,24,top,2021-05-01 2021-06-01
8,8,home depot,21,top,2021-05-01 2021-06-01
9,9,translate,19,top,2021-05-01 2021-06-01
10,10,target,16,top,2021-05-01 2021-06-01
11,11,gmail,15,top,2021-05-01 2021-06-01
12,12,food near me,14,top,2021-05-01 2021-06-01
13,13,netflix,14,top,2021-05-01 2021-06-01
14,14,yahoo mail,13,top,2021-05-01 2021-06-01
15,15,costco,12,top,2021-05-01 2021-06-01
16,16,memorial day,11,top,2021-05-01 2021-06-01
17,17,ebay,11,top,2021-05-01 2021-06-01
18,18,irs,10,top,2021-05-01 2021-06-01
19,19,google translate,10,top,2021-05-01 2021-06-01
20,20,amazon prime,10,top,2021-05-01 2021-06-01
21,21,fox news,10,top,2021-05-01 2021-06-01
22,22,restaurants near me,9,top,2021-05-01 2021-06-01
23,23,zillow,9,top,2021-05-01 2021-06-01
24,24,best buy,9,top,2021-05-01 2021-06-01
25,0,memorial day,500,rising,2021-05-01 2021-06-01
26,1,nba scores,80,rising,2021-05-01 2021-06-01
27,2,nba,70,rising,2021-05-01 2021-06-01
28,3,lakers,70,rising,2021-05-01 2021-06-01
29,4,dogecoin price,60,rising,2021-05-01 2021-06-01
0,0,weather,100,top,2021-06-01 2021-07-01
1,1,google,58,top,2021-06-01 2021-07-01
2,2,amazon,55,top,2021-06-01 2021-07-01
3,3,facebook,52,top,2021-06-01 2021-07-01
4,4,youtube,45,top,2021-06-01 2021-07-01
5,5,nba,44,top,2021-06-01 2021-07-01
6,6,news,44,top,2021-06-01 2021-07-01
7,7,walmart,34,top,2021-06-01 2021-07-01
8,8,yahoo,23,top,2021-06-01 2021-07-01
9,9,craigslist,22,top,2021-06-01 2021-07-01
10,10,home depot,17,top,2021-06-01 2021-07-01
11,11,instagram,16,top,2021-06-01 2021-07-01
12,12,translate,16,top,2021-06-01 2021-07-01
13,13,target,15,top,2021-06-01 2021-07-01
14,14,food near me,14,top,2021-06-01 2021-07-01
15,15,gmail,14,top,2021-06-01 2021-07-01
16,16,lowes,13,top,2021-06-01 2021-07-01
17,17,yahoo mail,11,top,2021-06-01 2021-07-01
18,18,costco,11,top,2021-06-01 2021-07-01
19,19,maps,10,top,2021-06-01 2021-07-01
20,20,amazon prime,10,top,2021-06-01 2021-07-01
21,21,ebay,9,top,2021-06-01 2021-07-01
22,22,walgreens,9,top,2021-06-01 2021-07-01
23,23,weather tomorrow,9,top,2021-06-01 2021-07-01
24,24,fox news,9,top,2021-06-01 2021-07-01
25,0,euro 2021,2200,rising,2021-06-01 2021-07-01
26,1,juneteenth,1350,rising,2021-06-01 2021-07-01
27,2,amc stock,140,rising,2021-06-01 2021-07-01
28,3,nba,40,rising,2021-06-01 2021-07-01
0,0,weather,100,top,2021-07-01 2021-08-01
1,1,google,55,top,2021-07-01 2021-08-01
2,2,amazon,54,top,2021-07-01 2021-08-01
3,3,facebook,54,top,2021-07-01 2021-08-01
4,4,youtube,48,top,2021-07-01 2021-08-01
5,5,news,47,top,2021-07-01 2021-08-01
6,6,walmart,40,top,2021-07-01 2021-08-01
7,7,craigslist,24,top,2021-07-01 2021-08-01
8,8,nba,24,top,2021-07-01 2021-08-01
9,9,yahoo,23,top,2021-07-01 2021-08-01
10,10,instagram,18,top,2021-07-01 2021-08-01
11,11,target,18,top,2021-07-01 2021-08-01
12,12,home depot,17,top,2021-07-01 2021-08-01
13,13,translate,16,top,2021-07-01 2021-08-01
14,14,food near me,14,top,2021-07-01 2021-08-01
15,15,calculator,14,top,2021-07-01 2021-08-01
16,16,netflix,13,top,2021-07-01 2021-08-01
17,17,gmail,13,top,2021-07-01 2021-08-01
18,18,costco,12,top,2021-07-01 2021-08-01
19,19,yahoo mail,11,top,2021-07-01 2021-08-01
20,20,restaurants near me,10,top,2021-07-01 2021-08-01
21,21,ebay,10,top,2021-07-01 2021-08-01
22,22,zillow,10,top,2021-07-01 2021-08-01
23,23,fox news,9,top,2021-07-01 2021-08-01
24,24,amazon prime,9,top,2021-07-01 2021-08-01
25,0,ángela peralta,2350,rising,2021-07-01 2021-08-01
26,1,olympics schedule,1450,rising,2021-07-01 2021-08-01
27,2,tokyo olympics,950,rising,2021-07-01 2021-08-01
28,3,black widow,400,rising,2021-07-01 2021-08-01
0,0,weather,100,top,2021-08-01 2021-09-01
1,1,google,67,top,2021-08-01 2021-09-01
2,2,facebook,58,top,2021-08-01 2021-09-01
3,3,amazon,58,top,2021-08-01 2021-09-01
4,4,youtube,49,top,2021-08-01 2021-09-01
5,5,walmart,38,top,2021-08-01 2021-09-01
6,6,yahoo,26,top,2021-08-01 2021-09-01
7,7,craigslist,25,top,2021-08-01 2021-09-01
8,8,target,18,top,2021-08-01 2021-09-01
9,9,instagram,18,top,2021-08-01 2021-09-01
10,10,translate,18,top,2021-08-01 2021-09-01
11,11,home depot,15,top,2021-08-01 2021-09-01
12,12,nfl,15,top,2021-08-01 2021-09-01
13,13,gmail,15,top,2021-08-01 2021-09-01
14,14,cvs,15,top,2021-08-01 2021-09-01
15,15,food near me,15,top,2021-08-01 2021-09-01
16,16,mlb,14,top,2021-08-01 2021-09-01
17,17,fox news,12,top,2021-08-01 2021-09-01
18,18,gnulla.biz,12,top,2021-08-01 2021-09-01
19,19,lowes,12,top,2021-08-01 2021-09-01
20,20,yahoo mail,12,top,2021-08-01 2021-09-01
21,21,costco,12,top,2021-08-01 2021-09-01
22,22,ebay,11,top,2021-08-01 2021-09-01
23,23,chase,10,top,2021-08-01 2021-09-01
24,24,usps,9,top,2021-08-01 2021-09-01
25,0,gnulla.biz,13950,rising,2021-08-01 2021-09-01
26,1,bloomovie .com,6600,rising,2021-08-01 2021-09-01
27,2,turkana human,2800,rising,2021-08-01 2021-09-01
28,3,covid vaccine near me,650,rising,2021-08-01 2021-09-01
29,4,nfl,250,rising,2021-08-01 2021-09-01
30,5,olympic medal count,40,rising,2021-08-01 2021-09-01
0,0,weather,100,top,2021-09-01 2021-10-01
1,1,google,80,top,2021-09-01 2021-10-01
2,2,news,64,top,2021-09-01 2021-10-01
3,3,amazon,61,top,2021-09-01 2021-10-01
4,4,facebook,61,top,2021-09-01 2021-10-01
5,5,youtube,60,top,2021-09-01 2021-10-01
6,6,nfl,42,top,2021-09-01 2021-10-01
7,7,walmart,39,top,2021-09-01 2021-10-01
8,8,bloomovie .com,37,top,2021-09-01 2021-10-01
9,9,yahoo,27,top,2021-09-01 2021-10-01
10,10,craigslist,23,top,2021-09-01 2021-10-01
11,11,translate,22,top,2021-09-01 2021-10-01
12,12,calculator,21,top,2021-09-01 2021-10-01
13,13,instagram,20,top,2021-09-01 2021-10-01
14,14,target,19,top,2021-09-01 2021-10-01
15,15,twitter,18,top,2021-09-01 2021-10-01
16,16,home depot,17,top,2021-09-01 2021-10-01
17,17,gmail,17,top,2021-09-01 2021-10-01
18,18,food near me,15,top,2021-09-01 2021-10-01
19,19,cvs,14,top,2021-09-01 2021-10-01
20,20,gabby petito,14,top,2021-09-01 2021-10-01
21,21,costco,14,top,2021-09-01 2021-10-01
22,22,fox news,13,top,2021-09-01 2021-10-01
23,23,yahoo mail,13,top,2021-09-01 2021-10-01
24,24,lowes,13,top,2021-09-01 2021-10-01
25,0,gabby petito,14950,rising,2021-09-01 2021-10-01
26,1,christopher reeve,2050,rising,2021-09-01 2021-10-01
27,2,bloomovie .com,650,rising,2021-09-01 2021-10-01
28,3,nfl scores,550,rising,2021-09-01 2021-10-01
29,4,nfl games today,150,rising,2021-09-01 2021-10-01
30,5,nfl,130,rising,2021-09-01 2021-10-01
31,6,nfl schedule,120,rising,2021-09-01 2021-10-01
32,7,kahoot,100,rising,2021-09-01 2021-10-01
33,8,powerball,70,rising,2021-09-01 2021-10-01
34,9,seahawks,70,rising,2021-09-01 2021-10-01
35,10,espn,50,rising,2021-09-01 2021-10-01
0,0,weather,100,top,2021-10-01 2021-11-01
1,1,google,72,top,2021-10-01 2021-11-01
2,2,facebook,67,top,2021-10-01 2021-11-01
3,3,amazon,61,top,2021-10-01 2021-11-01
4,4,youtube,58,top,2021-10-01 2021-11-01
5,5,news,56,top,2021-10-01 2021-11-01
6,6,halloween,54,top,2021-10-01 2021-11-01
7,7,nfl,47,top,2021-10-01 2021-11-01
8,8,walmart,41,top,2021-10-01 2021-11-01
9,9,yahoo,28,top,2021-10-01 2021-11-01
10,10,mlb,23,top,2021-10-01 2021-11-01
11,11,instagram,23,top,2021-10-01 2021-11-01
12,12,craigslist,22,top,2021-10-01 2021-11-01
13,13,translate,20,top,2021-10-01 2021-11-01
14,14,calculator,20,top,2021-10-01 2021-11-01
15,15,target,18,top,2021-10-01 2021-11-01
16,16,netflix,17,top,2021-10-01 2021-11-01
17,17,nba,16,top,2021-10-01 2021-11-01
18,18,gmail,15,top,2021-10-01 2021-11-01
19,19,dodgers,14,top,2021-10-01 2021-11-01
20,20,home depot,14,top,2021-10-01 2021-11-01
21,21,nfl scores,13,top,2021-10-01 2021-11-01
22,22,food near me,13,top,2021-10-01 2021-11-01
23,23,espn,13,top,2021-10-01 2021-11-01
24,24,costco,13,top,2021-10-01 2021-11-01
25,0,alec baldwin,2350,rising,2021-10-01 2021-11-01
26,1,astros,450,rising,2021-10-01 2021-11-01
27,2,squid game,250,rising,2021-10-01 2021-11-01
28,3,halloween,250,rising,2021-10-01 2021-11-01
29,4,nba,180,rising,2021-10-01 2021-11-01
30,5,dodgers,180,rising,2021-10-01 2021-11-01
31,6,brian laundrie,70,rising,2021-10-01 2021-11-01
32,7,nfl scores,60,rising,2021-10-01 2021-11-01
33,8,mlb,50,rising,2021-10-01 2021-11-01
0,0,weather,100,top,2021-11-01 2021-12-01
1,1,google,90,top,2021-11-01 2021-12-01
2,2,amazon,81,top,2021-11-01 2021-12-01
3,3,news,69,top,2021-11-01 2021-12-01
4,4,facebook,67,top,2021-11-01 2021-12-01
5,5,youtube,63,top,2021-11-01 2021-12-01
6,6,walmart,62,top,2021-11-01 2021-12-01
7,7,nfl,52,top,2021-11-01 2021-12-01
8,8,yahoo,31,top,2021-11-01 2021-12-01
9,9,target,28,top,2021-11-01 2021-12-01
10,10,nba,27,top,2021-11-01 2021-12-01
11,11,calculator,25,top,2021-11-01 2021-12-01
12,12,craigslist,24,top,2021-11-01 2021-12-01
13,13,translate,24,top,2021-11-01 2021-12-01
14,14,instagram,24,top,2021-11-01 2021-12-01
15,15,home depot,22,top,2021-11-01 2021-12-01
16,16,best buy,19,top,2021-11-01 2021-12-01
17,17,gmail,18,top,2021-11-01 2021-12-01
18,18,cvs,18,top,2021-11-01 2021-12-01
19,19,costco,18,top,2021-11-01 2021-12-01
20,20,walgreens,17,top,2021-11-01 2021-12-01
21,21,food near me,16,top,2021-11-01 2021-12-01
22,22,lowes,16,top,2021-11-01 2021-12-01
23,23,fox news,15,top,2021-11-01 2021-12-01
24,24,kyle rittenhouse,15,top,2021-11-01 2021-12-01
25,0,kyle rittenhouse,4850,rising,2021-11-01 2021-12-01
26,1,young dolph,3700,rising,2021-11-01 2021-12-01
27,2,lotfi zadeh,2550,rising,2021-11-01 2021-12-01
28,3,kyle rittenhouse verdict,2500,rising,2021-11-01 2021-12-01
29,4,veterans day,1150,rising,2021-11-01 2021-12-01
30,5,pete davidson,500,rising,2021-11-01 2021-12-01
31,6,urban dictionary,140,rising,2021-11-01 2021-12-01
32,7,macys,80,rising,2021-11-01 2021-12-01
33,8,bath and body works,70,rising,2021-11-01 2021-12-01
34,9,jcpenney,60,rising,2021-11-01 2021-12-01
35,10,best buy,60,rising,2021-11-01 2021-12-01
36,11,kohls,60,rising,2021-11-01 2021-12-01
37,12,hobby lobby,50,rising,2021-11-01 2021-12-01
38,13,nba scores,50,rising,2021-11-01 2021-12-01
39,14,gamestop,40,rising,2021-11-01 2021-12-01
0,0,weather,100,top,2021-12-01 2022-01-01
1,1,amazon,71,top,2021-12-01 2022-01-01
2,2,google,66,top,2021-12-01 2022-01-01
3,3,youtube,55,top,2021-12-01 2022-01-01
4,4,facebook,55,top,2021-12-01 2022-01-01
5,5,news,52,top,2021-12-01 2022-01-01
6,6,walmart,45,top,2021-12-01 2022-01-01
7,7,nfl,45,top,2021-12-01 2022-01-01
8,8,yahoo,27,top,2021-12-01 2022-01-01
9,9,target,25,top,2021-12-01 2022-01-01
10,10,walgreens,20,top,2021-12-01 2022-01-01
11,11,cvs,20,top,2021-12-01 2022-01-01
12,12,nba,19,top,2021-12-01 2022-01-01
13,13,instagram,18,top,2021-12-01 2022-01-01
14,14,translate,18,top,2021-12-01 2022-01-01
15,15,craigslist,17,top,2021-12-01 2022-01-01
16,16,calculator,16,top,2021-12-01 2022-01-01
17,17,home depot,16,top,2021-12-01 2022-01-01
18,18,gmail,15,top,2021-12-01 2022-01-01
19,19,best buy,13,top,2021-12-01 2022-01-01
20,20,fox news,12,top,2021-12-01 2022-01-01
21,21,nfl scores,12,top,2021-12-01 2022-01-01
22,22,amazon prime,11,top,2021-12-01 2022-01-01
23,23,lowes,11,top,2021-12-01 2022-01-01
24,24,espn,11,top,2021-12-01 2022-01-01
25,0,betty white,2450,rising,2021-12-01 2022-01-01
26,1,spider man no way home,300,rising,2021-12-01 2022-01-01
27,2,covid testing near me,250,rising,2021-12-01 2022-01-01
28,3,walgreens,60,rising,2021-12-01 2022-01-01
29,4,cvs,60,rising,2021-12-01 2022-01-01
30,5,usps tracking,50,rising,2021-12-01 2022-01-01
31,6,weather,50,rising,2021-12-01 2022-01-01
