,rank,query,value,cat,timeframe
5,5,amazon,38,top,2020-04-01 2020-05-01
6,6,youtube,36,top,2020-04-01 2020-05-01
7,7,walmart,29,top,2020-04-01 2020-05-01
8,8,classroom,20,top,2020-04-01 2020-05-01
9,9,zoom,17,top,2020-04-01 2020-05-01
10,10,irs,17,top,2020-04-01 2020-05-01
11,11,google classroom,17,top,2020-04-01 2020-05-01
12,12,thank you coronavirus helpers,17,top,2020-04-01 2020-05-01
13,13,craigslist,16,top,2020-04-01 2020-05-01
14,14,yahoo,15,top,2020-04-01 2020-05-01
15,15,gmail,15,top,2020-04-01 2020-05-01
16,16,calculator,14,top,2020-04-01 2020-05-01
17,17,home depot,14,top,2020-04-01 2020-05-01
18,18,translate,13,top,2020-04-01 2020-05-01
19,19,instagram,13,top,2020-04-01 2020-05-01
20,20,netflix,13,top,2020-04-01 2020-05-01
21,21,target,12,top,2020-04-01 2020-05-01
22,22,lowes,10,top,2020-04-01 2020-05-01
23,23,coronavirus tips,9,top,2020-04-01 2020-05-01
24,24,twitter,9,top,2020-04-01 2020-05-01
25,0,thank you coronavirus helpers,35900,rising,2020-04-01 2020-05-01
26,1,popular google doodle games,17350,rising,2020-04-01 2020-05-01
27,2,get my payment,7550,rising,2020-04-01 2020-05-01
28,3,irs get my payment,4350,rising,2020-04-01 2020-05-01
29,4,kim jong un,3850,rising,2020-04-01 2020-05-01
30,5,dame jean macnamara,3550,rising,2020-04-01 2020-05-01
31,6,irs.gov,900,rising,2020-04-01 2020-05-01
32,7,nfl draft,450,rising,2020-04-01 2020-05-01
33,8,stimulus checks,400,rising,2020-04-01 2020-05-01
34,9,irs,350,rising,2020-04-01 2020-05-01
35,10,weather tomorrow,130,rising,2020-04-01 2020-05-01
36,11,zoom,90,rising,2020-04-01 2020-05-01
37,12,usps tracking,80,rising,2020-04-01 2020-05-01
38,13,coronavirus tips,80,rising,2020-04-01 2020-05-01
39,14,fedex tracking,50,rising,2020-04-01 2020-05-01
0,0,google,100,top,2020-05-01 2020-06-01
1,1,weather,81,top,2020-05-01 2020-06-01
2,2,facebook,60,top,2020-05-01 2020-06-01
3,3,amazon,60,top,2020-05-01 2020-06-01
4,4,coronavirus,55,top,2020-05-01 2020-06-01
5,5,news,53,top,2020-05-01 2020-06-01
6,6,youtube,51,top,2020-05-01 2020-06-01
7,7,walmart,44,top,2020-05-01 2020-06-01
8,8,craigslist,30,top,2020-05-01 2020-06-01
9,9,unemployment,29,top,2020-05-01 2020-06-01
10,10,home depot,23,top,2020-05-01 2020-06-01
11,11,target,21,top,2020-05-01 2020-06-01
12,12,yahoo,21,top,2020-05-01 2020-06-01
13,13,gmail,21,top,2020-05-01 2020-06-01
14,14,instagram,19,top,2020-05-01 2020-06-01
15,15,translate,19,top,2020-05-01 2020-06-01
16,16,calculator,19,top,2020-05-01 2020-06-01
17,17,google classroom,19,top,2020-05-01 2020-06-01
18,18,lowes,18,top,2020-05-01 2020-06-01
19,19,netflix,17,top,2020-05-01 2020-06-01
20,20,trump,16,top,2020-05-01 2020-06-01
21,21,stimulus check,16,top,2020-05-01 2020-06-01
22,22,popular google doodle games,14,top,2020-05-01 2020-06-01
23,23,zoom,13,top,2020-05-01 2020-06-01
24,24,usps,13,top,2020-05-01 2020-06-01
25,0,george floyd,11750,rising,2020-05-01 2020-06-01
26,1,antifa,1900,rising,2020-05-01 2020-06-01
27,2,memorial day,1300,rising,2020-05-01 2020-06-01
28,3,memorial day 2020,450,rising,2020-05-01 2020-06-01
29,4,tj maxx,250,rising,2020-05-01 2020-06-01
30,5,airbnb,120,rising,2020-05-01 2020-06-01
31,6,old navy,70,rising,2020-05-01 2020-06-01
32,7,kohls,60,rising,2020-05-01 2020-06-01
33,8,restaurants near me,60,rising,2020-05-01 2020-06-01
34,9,popular google doodle games,50,rising,2020-05-01 2020-06-01
35,10,ups tracking,50,rising,2020-05-01 2020-06-01
0,0,weather,100,top,2020-06-01 2020-07-01
1,1,facebook,82,top,2020-06-01 2020-07-01
2,2,google,78,top,2020-06-01 2020-07-01
3,3,amazon,69,top,2020-06-01 2020-07-01
4,4,youtube,56,top,2020-06-01 2020-07-01
5,5,walmart,52,top,2020-06-01 2020-07-01
6,6,coronavirus,45,top,2020-06-01 2020-07-01
